State,Code,Latitude,Longitude,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2001_Fed,2002_Fed,2003_Fed,2004_Fed,2005_Fed,2006_Fed,2007_Fed,2008_Fed,2009_Fed,2010_Fed,2011_Fed,2012_Fed,2013_Fed,2014_Fed,2015_Fed,2016_Fed,2017_Fed,2018_Fed,2019_Fed,2020_Fed,2001_Old,2002_Old,2003_Old,2004_Old,2005_Old,2006_Old,2007_Old,2008_Old,2009_Old,2010_Old,2011_Old,2012_Old,2013_Old,2014_Old,2015_Old,2016_Old,2017_Old,2018_Old,2019_Old,2020_Old
Alabama,AL,32.6010112,-86.6807365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,AK,61.3025006,-158.7750198,8.25,8.12,10.05,9.79,9.47,9.17,8.92,8.59,8.62,9.19,8.91,8.73,8.61,8.47,9.55,10.51,10.34,10.14,10.31,10.19,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,5.65,5.65,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.75,7.75,7.75,7.75,7.75,8.75,9.75,9.8,9.84,10.19,10.19
Arizona,AZ,34.1682185,-111.930907,0,0,0,0,0,0,8.42,8.29,8.74,8.6,8.45,8.62,8.66,8.63,8.79,8.68,10.55,10.82,12.14,12,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,0,0,0,0,0,0,6.75,6.9,7.25,7.25,7.35,7.65,7.8,7.9,8.05,8.05,10,10.5,12,12
Arkansas,AR,34.7519275,-92.1313784,7.52,7.4,7.24,7.05,6.82,6.61,7.8,7.51,7.54,7.41,7.19,7.04,6.94,6.83,8.18,8.62,8.97,8.76,9.36,10,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,5.15,5.15,5.15,5.15,5.15,5.15,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,7.5,8,8.5,8.5,9.25,10
California,CA,37.2718745,-119.2704153,9.13,9.71,9.49,9.24,8.94,8.66,9.36,9.61,9.65,9.49,9.2,9.01,8.88,9.83,9.82,10.78,10.55,11.33,12.14,13,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,6.25,6.75,6.75,6.75,6.75,6.75,7.5,8,8,8,8,8,8,9,9,10,10,11,12,13
Colorado,CO,38.9979339,-105.550567,7.52,7.4,7.24,7.05,6.82,6.61,8.55,8.43,8.78,8.59,8.46,8.61,8.64,8.74,8.98,8.96,9.81,10.51,12.14,12,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,5.15,5.15,5.15,5.15,5.15,5.15,6.85,7.02,7.28,7.24,7.36,7.64,7.78,8,8.23,8.31,9.3,10.2,12,12
Connecticut,CT,41.5187835,-72.757507,9.35,9.63,9.7,9.72,9.4,9.49,9.54,9.19,9.65,9.79,9.49,9.29,9.16,9.51,9.99,10.35,10.66,10.4,11.13,11,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,6.4,6.7,6.9,7.1,7.1,7.4,7.65,7.65,8,8.25,8.25,8.25,8.25,8.7,9.15,9.6,10.1,10.1,11,11
Delaware,DE,39.145251,-75.4189206,8.98,8.84,8.65,8.42,8.15,7.89,8.3,8.59,8.62,8.6,8.34,8.17,8.05,8.47,9,8.89,8.71,8.5,9.36,9.25,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,6.15,6.15,6.15,6.15,6.15,6.15,6.65,7.15,7.15,7.25,7.25,7.25,7.25,7.75,8.25,8.25,8.25,8.25,9.25,9.25
District of Columbia,DC,38.8993487,-77.0145666,8.98,8.84,8.65,8.42,8.74,8.98,8.73,8.41,9.1,9.79,9.49,9.29,9.16,10.38,11.46,12.39,12.14,13.65,14.16,14,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,6.15,6.15,6.15,6.15,6.6,7,7,7,7.55,8.25,8.25,8.25,8.25,9.5,10.5,11.5,11.5,13.25,14,14
Florida,FL,27.9757279,-83.8330166,0,0,0,0,0,8.21,8.32,8.16,8.69,8.6,8.34,8.64,8.65,8.66,8.79,8.68,8.55,8.5,8.66,8.56,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,0,0,0,0,0,6.4,6.67,6.79,7.21,7.25,7.25,7.67,7.79,7.93,8.05,8.05,8.1,8.25,8.56,8.56
Georgia,GA,32.6781248,-83.2229757,4.75,7.4,7.24,7.05,6.82,6.61,6.42,6.19,6.21,6.11,5.92,5.8,5.72,5.63,5.62,5.55,5.43,5.3,5.21,5.15,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,3.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Hawaii,HI,20.46,-157.505,7.67,8.27,8.79,8.56,8.28,8.66,9.04,8.71,8.74,8.6,8.34,8.17,8.05,7.92,8.46,9.16,9.76,10.46,10.22,10.1,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,5.25,5.75,6.25,6.25,6.25,6.75,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.75,8.5,9.25,10.1,10.1,10.1
Idaho,ID,45.4945756,-114.1424303,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Illinois,IL,39.739318,-89.504139,7.52,7.4,7.24,7.53,8.61,8.34,9.36,9.31,9.65,9.79,9.49,9.29,9.16,9.01,9,8.89,8.71,8.5,9.36,9.25,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,5.15,5.15,5.15,5.5,6.5,6.5,7.5,7.75,8,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,9.25,9.25
Indiana,IN,39.7662195,-86.441277,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Iowa,IA,41.9383166,-93.389798,7.52,7.4,7.24,7.05,6.82,6.61,6.42,8.71,8.74,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Kansas,KS,38.4987789,-98.3200779,3.87,3.81,3.73,3.63,3.51,3.4,3.31,3.18,3.2,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Kentucky,KY,37.8222935,-85.7682399,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Louisiana,LA,30.9733766,-91.4299097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,ME,45.2185133,-69.0148656,7.52,8.27,8.79,8.56,8.41,8.34,8.42,8.41,8.74,8.9,8.62,8.45,8.33,8.19,8.18,8.08,9.5,10.3,12.14,12,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,5.15,5.75,6.25,6.25,6.35,6.5,6.75,7,7.25,7.5,7.5,7.5,7.5,7.5,7.5,7.5,9,10,12,12
Maryland,MD,38.8063524,-77.2684162,7.52,7.4,7.24,7.05,6.82,6.61,7.67,7.39,7.9,8.6,8.34,8.17,8.05,7.92,9,9.43,9.23,10.4,11.13,11,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.15,6.55,7.25,7.25,7.25,7.25,7.25,8.25,8.75,8.75,10.1,11,11
Massachusetts,MA,42.0629398,-71.718067,9.86,9.71,9.49,9.24,8.94,8.66,9.36,9.61,9.65,9.49,9.2,9.01,8.88,8.74,9.82,10.78,11.61,11.33,12.9,12.75,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,6.75,6.75,6.75,6.75,6.75,6.75,7.5,8,8,8,8,8,8,8,9,10,11,11,12.75,12.75
Michigan,MI,44.9435598,-86.4158049,7.52,7.4,7.24,7.05,6.82,6.61,8.67,8.59,8.92,8.78,8.51,8.34,8.22,8.9,8.89,9.16,9.39,9.53,9.76,9.65,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,5.15,5.15,5.15,5.15,5.15,5.15,6.95,7.15,7.4,7.4,7.4,7.4,7.4,8.15,8.15,8.5,8.9,9.25,9.65,9.65
Minnesota,MN,46.4418595,-93.3655146,7.16,7.05,6.89,6.71,6.49,6.74,6.55,6.31,6.33,6.23,6.04,5.91,5.83,7.1,7.91,7.81,8.18,8.28,8.25,8.15,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,4.9,4.9,4.9,4.9,4.9,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,6.5,7.25,7.25,7.75,8.04,8.15,8.15
Mississippi,MS,32.5851062,-89.8772196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.52,7.4,7.24,7.05,6.82,6.61,6.42,7.03,7.9,8.6,8.34,8.17,8.05,7.92,7.91,7.81,7.65,7.47,7.34,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
